"Amparo","Amp","SumaDePagos","Modelo","Color","Carroceria","MARCA","Referencia1","Referencia2","CLASE_FASECOLDA","TIPO_VEHICULO","SERVICIO","Sexo_Aseg","Edad","Desde","Hasta","Vr_Comercial","Pago"
NA,NA,NA,2009,"NEGRO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",29,"2011-05-27","2012-05-27",17500000,"No"
NA,NA,NA,2010,"GRIS","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Oficial",NA,999,"2012-06-18","2013-06-18",56800000,"No"
NA,NA,NA,2008,"BLANCO","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",37,"2012-10-29","2013-10-29",13900000,"No"
NA,NA,NA,2012,"BLANCO","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","M",26,"2011-07-29","2012-07-29",61290000,"No"
NA,NA,NA,2005,"ROJO","FURGON","HYUNDAI","HD","65C [ASL]","FURGON","Pesados","Publico","M",0,"2012-02-11","2013-02-11",39200000,"No"
NA,NA,NA,2012,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","F",48,"2011-09-14","2012-09-14",0,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico",NA,999,"2011-09-15","2012-09-15",20700000,"No"
NA,NA,NA,2005,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Particular","M",28,"2011-04-30","2012-04-30",8600000,"No"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",36,"2012-10-07","2013-10-07",29900000,"No"
NA,NA,NA,2008,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",26,"2012-10-01","2013-01-01",20500000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",2164200,2005,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",0,"2011-11-25","2012-11-25",8600000,"S�"
NA,NA,NA,2009,"NEGRO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",55,"2011-09-22","2012-09-22",22500000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",392440,2012,"PLATA","HATCHBACK","HYUNDAI","i10 [FL]","1.1L","AUTOMOVIL","Livianos","Particular","M",42,"2012-08-28","2013-08-28",24900000,"S�"
NA,NA,NA,2013,"BRONCE","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","F",27,"2011-10-01","2012-10-01",64046600,"No"
NA,NA,NA,2012,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","M",26,"2011-04-19","2012-04-19",35690000,"No"
NA,NA,NA,2009,"BLANCO","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Oficial",NA,999,"2012-05-25","2013-05-25",0,"No"
NA,NA,NA,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",43,"2012-08-18","2013-08-18",17300000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",3583185,2012,"CHAMPA�A","SEDAN","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",26,"2012-01-06","2013-01-06",0,"S�"
NA,NA,NA,2005,"BLANCO","SEDAN","HYUNDAI","ACCENT GYRO","GL","AUTOMOVIL","Livianos","Particular","M",42,"2011-04-20","2012-04-20",15100000,"No"
