"Amparo","Amp","SumaDePagos","Modelo","Color","Carroceria","MARCA","Referencia1","Referencia2","CLASE_FASECOLDA","TIPO_VEHICULO","SERVICIO","Sexo_Aseg","Edad","Desde","Hasta","Vr_Comercial","Pago"
NA,NA,NA,2013,"ROJO","SEDAN","HYUNDAI","VELOSTER","COUPE","AUTOMOVIL","Livianos","Particular","F",34,"2011-09-29","2012-11-14",56490000,"No"
NA,NA,NA,2010,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","M",67,"2011-10-01","2012-10-01",16400000,"No"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","F",32,"2012-02-14","2013-02-14",34700000,"No"
NA,NA,NA,2008,"BLANCO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Particular","M",0,"2012-05-30","2013-05-30",12300000,"No"
NA,NA,NA,2008,"VINO TINTO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",53,"2011-06-06","2012-06-06",23400000,"No"
NA,NA,NA,2007,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",35,"2012-06-23","2013-06-23",1.6e+07,"No"
NA,NA,NA,2012,"ROJO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",65,"2011-09-05","2012-09-05",24900000,"No"
NA,NA,NA,2007,"BLANCO","FURGON","HYUNDAI","HD","65","FURGON","Pesados","Publico",NA,0,"2012-07-03","2013-07-03",39800000,"No"
NA,NA,NA,2010,"BLANCO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",44,"2012-07-01","2013-07-01",21250000,"No"
NA,NA,NA,2011,"BLANCO","SEDAN","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",0,"2012-08-10","2013-08-10",20500000,"No"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","ACCENT WEB II","GLS","AUTOMOVIL","Livianos","Particular","M",50,"2012-03-23","2013-03-23",21900000,"No"
NA,NA,NA,2011,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",50,"2012-03-22","2013-03-22",2.3e+07,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",2632957,2009,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",36,"2011-09-11","2012-09-11",15400000,"S�"
NA,NA,NA,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",0,"2012-05-13","2013-05-13",17300000,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",35,"2012-05-30","2013-05-30",23700000,"No"
NA,NA,NA,2009,"BLANCO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",36,"2011-06-17","2012-06-17",2.7e+07,"No"
NA,NA,NA,2011,"CHAMPA�A","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","F",45,"2013-02-09","2014-02-09",16900000,"No"
NA,NA,NA,2011,"AZUL","CABINADO","HYUNDAI","SANTA FE [2] [FL]","GL","CAMPERO","Livianos","Particular","F",46,"2011-03-15","2012-03-15",62400000,"No"
NA,NA,NA,2005,"BLANCO","SEDAN","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",0,"2012-08-21","2013-08-21",12400000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",6074996,2012,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","M",46,"2012-08-10","2013-07-15",8e+05,"S�"
NA,NA,NA,2012,"AMARILLO","HATCHBACK","HYUNDAI","i10 [FL]","CITY TAXI PLUS","AUTOMOVIL","Livianos","Publico","M",19,"2011-12-23","2012-12-23",28700000,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",23,"2011-12-23","2012-12-23",20700000,"No"
NA,NA,NA,2012,"BLANCO","HATCHBACK","HYUNDAI","i30","GLS","AUTOMOVIL","Livianos","Particular","F",55,"2012-03-24","2013-03-24",38008000,"No"
NA,NA,NA,2012,"BLANCO","HATCHBACK","HYUNDAI","i30","GLS","AUTOMOVIL","Livianos","Particular","F",55,"2012-08-28","2013-08-28",38008000,"No"
NA,NA,NA,2009,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",33,"2012-02-02","2013-02-02",19500000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",0,2008,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2012-03-07","2013-03-07",21200000,"No"
NA,NA,NA,2013,"NEGRO","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",0,"2011-05-19","2012-05-19",33500000,"No"
NA,NA,NA,2005,"ROJO","SEDAN","HYUNDAI","ACCENT","LS","AUTOMOVIL","Livianos","Particular","F",34,"2012-02-07","2013-02-07",13300000,"No"
NA,NA,NA,2005,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico",NA,999,"2011-07-16","2012-07-16",10900000,"No"
NA,NA,NA,2008,"ROJO","HATCHBACK","HYUNDAI","TIBURON [3]","FX","AUTOMOVIL","Livianos","Particular","M",51,"2012-07-21","2013-07-21",3.9e+07,"No"
NA,NA,NA,2012,"NEGRO","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",49,"2011-06-14","2012-06-14",32990000,"No"
NA,NA,NA,2008,"GRIS","CABINADO","HYUNDAI","TUCSON","GLS","CAMPERO","Livianos","Particular",NA,0,"2012-08-30","2013-08-30",45200000,"No"
NA,NA,NA,2011,"PLATEADO","CABINADO","HYUNDAI","TUCSON IX 35","2.0L CRDI","CAMIONETA","Livianos","Particular","F",0,"2012-02-16","2013-02-16",54300000,"No"
NA,NA,NA,2011,"BLANCO","SEDAN","HYUNDAI","SONATA i45","2.4L","AUTOMOVIL","Livianos","Particular","F",46,"2012-05-02","2013-05-02",54500000,"No"
NA,NA,NA,2010,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","F",56,"2012-07-16","2013-07-16",22600000,"No"
NA,NA,NA,2012,"NEGRO","CABINADO","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",28,"2011-12-31","2012-12-31",18200000,"No"
NA,NA,NA,2010,"NEGRO","SEDAN","HYUNDAI","ELANTRA SUPREME","GLS","AUTOMOVIL","Livianos","Particular","M",47,"2012-02-01","2013-02-01",0,"No"
NA,NA,NA,2011,"PLATA","HATCHBACK","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","F",0,"2011-10-01","2012-10-01",50900000,"No"
NA,NA,NA,2009,"AZUL","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","M",0,"2012-04-21","2013-04-21",15300000,"No"
"PERDIDA TOTAL POR DA�OS","PTD",18839300,2008,"VINOTINTO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",39,"2012-01-18","2013-01-18",21399999,"S�"
"PERDIDA PARCIAL POR DA�OS","PPD",880360,2012,"BRONCE SUAVE","SEDAN","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","M",49,"2011-11-25","2012-11-21",0,"S�"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","M",49,"2011-08-28","2012-08-28",20500000,"No"
NA,NA,NA,2005,"BLANCO","SEDAN","HYUNDAI","ELANTRA FL","GLS","AUTOMOVIL","Livianos","Particular","F",37,"2011-07-01","2012-07-01",16500000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","F",33,"2011-10-25","2012-10-25",18700000,"No"
NA,NA,NA,2000,"ROJO","SEDAN","HYUNDAI","ACCENT VERNA","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2011-02-16","2011-06-05",10300000,"No"
NA,NA,NA,2009,"PLATA","CABINADO","HYUNDAI","TUCSON","GL","CAMIONETA","Livianos","Particular","M",40,"2012-03-30","2013-03-30",38800000,"No"
NA,NA,NA,2008,"BLANCO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Particular","M",0,"2012-08-22","2013-08-22",12300000,"No"
NA,NA,NA,1998,"PLATA","SEDAN","HYUNDAI","ACCENT","LS","AUTOMOVIL","Livianos","Particular","M",22,"2012-05-16","2013-05-16",7900000,"No"
NA,NA,NA,2011,"GRIS","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Oficial",NA,0,"2012-05-23","2013-05-23",4.9e+07,"No"
NA,NA,NA,2010,"AZUL","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",0,"2011-04-05","2012-04-05",24400000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",0,2011,"BLANCO","CABINADO","HYUNDAI","H100","2.5","CAMIONETA","Livianos","Oficial",NA,0,"2013-01-01","2013-04-01",51200000,"No"
NA,NA,NA,2013,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Oficial",NA,999,"2011-04-15","2012-04-15",44400000,"No"
NA,NA,NA,2008,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",62,"2013-01-12","2013-05-31",13700000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",70,"2011-11-01","2012-11-01",21100000,"No"
NA,NA,NA,2004,"AMARILLO","SEDAN","HYUNDAI","ACCENT GYRO","S. PONY","AUTOMOVIL TAXI","Livianos","Publico","M",38,"2011-06-29","2012-06-29",6200000,"No"
NA,NA,NA,2007,"PLATA","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","M",34,"2012-03-01","2013-03-01",34100000,"No"
NA,NA,NA,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",0,"2012-06-11","2013-06-11",0,"No"
NA,NA,NA,2007,"BLANCO","SEDAN","HYUNDAI","ACCENT VISION","LS","AUTOMOVIL","Livianos","Particular","F",45,"2011-05-10","2012-05-10",18500000,"No"
NA,NA,NA,2010,"GRIS","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Oficial",NA,999,"2012-08-27","2013-06-01",56800000,"No"
NA,NA,NA,2011,"GRIS","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Oficial",NA,999,"2012-11-03","2013-10-29",990000,"No"
NA,NA,NA,1999,"VERDE","SEDAN","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",45,"2011-11-18","2012-11-18",7700000,"No"
"RESPONSABILIDAD CIVIL EXTRACONTRACTUAL","RC",3494837,2013,"PLATA","SEDAN","HYUNDAI","i35 ELANTRA","1.6L","AUTOMOVIL","Livianos","Particular","F",35,"2012-08-06","2013-08-06",56740000,"S�"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",74,"2012-02-20","2013-02-20",28800000,"No"
NA,NA,NA,2011,"BLANCO","PICK UP - DOBLE CABINA","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","F",52,"2012-05-16","2013-05-16",58406480,"No"
NA,NA,NA,2012,"NEGRO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",29,"2011-07-31","2012-07-31",22790000,"No"
NA,NA,NA,2011,"GRIS","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","M",65,"2012-09-07","2013-09-07",16900000,"No"
NA,NA,NA,2012,"AZUL","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",37,"2011-05-14","2012-05-14",33490000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",0,2012,"NEGRO","CABINADO","HYUNDAI","TUCSON IX 35","2.0L CRDI","CAMPERO","Livianos","Particular","F",39,"2012-07-07","2013-07-07",73600000,"No"
NA,NA,NA,2007,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",22,"2011-08-05","2012-08-05",10900000,"No"
NA,NA,NA,2010,"BLANCO","CABINADO","HYUNDAI","SANTA FE [2]","GL","CAMPERO","Livianos","Particular","M",48,"2011-12-23","2012-12-19",58300000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",10099433,2008,"GRIS","CABINADO","HYUNDAI","TUCSON","GLS","CAMPERO","Livianos","Particular",NA,0,"2011-12-30","2012-12-30",45200000,"S�"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",63,"2011-12-07","2012-12-07",18800000,"No"
NA,NA,NA,2012,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",29,"2013-02-02","2014-02-02",29500000,"No"
NA,NA,NA,2012,"PLATA","ST. WAGON","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","M",59,"2012-07-22","2014-09-02",0,"No"
NA,NA,NA,2006,"AZUL","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",49,"2012-09-25","2013-09-25",12800000,"No"
NA,NA,NA,2012,"BLANCO","SEDAN","HYUNDAI","TUCSON IX 35","2.0L CRDI","CAMIONETA","Livianos","Particular","M",0,"2012-08-14","2013-08-14",68900000,"No"
NA,NA,NA,2013,"ROJO","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",41,"2011-01-29","2012-01-29",45300000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1217367,2007,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",0,"2012-09-09","2013-09-09",1.7e+07,"S�"
NA,NA,NA,2008,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",40,"2012-05-10","2013-05-10",13700000,"No"
NA,NA,NA,2012,"BRONCE","SEDAN","HYUNDAI","i35 ELANTRA","1.8L","AUTOMOVIL","Livianos","Particular","M",33,"2012-08-28","2013-08-28",46690000,"No"
NA,NA,NA,2013,"GRIS","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",45,"2013-02-03","2014-02-03",22490000,"No"
NA,NA,NA,2007,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",22,"2011-07-21","2012-06-28",10900000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",752312,2010,"BLANCO","VAN DE PASAJEROS","HYUNDAI","STAREX [2]","H1","BUS / BUSETA / MICROBUS","Pesados","Oficial",NA,999,"2011-10-01","2012-10-01",84079178,"S�"
"PERDIDA PARCIAL POR DA�OS","PPD",3363328,2012,"BLANCO","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","M",40,"2011-07-13","2012-06-24",0,"S�"
"PERDIDA PARCIAL POR DA�OS","PPD",1268916,2012,"PLATA","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","M",42,"2012-03-16","2013-03-16",73800000,"S�"
NA,NA,NA,2009,"VERDE","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","F",0,"2012-01-03","2013-01-03",39700000,"No"
NA,NA,NA,2000,"BLANCO","HATCHBACK","HYUNDAI","ELANTRA AVANTE","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2012-05-23","2013-05-23",11100000,"No"
NA,NA,NA,2011,"CHAMPA�A","HATCHBACK","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",51,"2011-12-30","2012-12-30",20500000,"No"
NA,NA,NA,2009,"NEGRO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",29,"2011-01-28","2012-01-28",17500000,"No"
NA,NA,NA,2011,"PLATA","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",0,"2011-07-12","2012-07-12",23100000,"No"
NA,NA,NA,2013,"NARANJA","HATCHBACK","HYUNDAI","VELOSTER","COUPE","AUTOMOVIL","Livianos","Particular","M",59,"2011-03-29","2012-03-29",5.7e+07,"No"
NA,NA,NA,2012,"GRIS","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",35,"2011-03-31","2012-03-31",24770000,"No"
NA,NA,NA,1998,"BLANCO","SEDAN","HYUNDAI","ACCENT","LS","AUTOMOVIL","Livianos","Particular","F",35,"2012-10-03","2013-10-03",7400000,"No"
NA,NA,NA,2013,"NEGRO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",40,"2011-11-05","2012-11-05",41190000,"No"
NA,NA,NA,2011,"PLATA","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",0,"2011-06-30","2012-06-30",23100000,"No"
NA,NA,NA,2009,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",66,"2012-04-20","2013-04-20",15400000,"No"
NA,NA,NA,2012,"AZUL","HATCHBACK","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",85,"2012-06-22","2013-06-22",2.9e+07,"No"
NA,NA,NA,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",76,"2012-08-21","2013-08-13",15400000,"No"
NA,NA,NA,2012,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",45,"2012-06-22","2013-06-22",22200000,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",77,"2012-09-12","2012-10-01",23700000,"No"
NA,NA,NA,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",57,"2011-10-30","2012-10-30",11700000,"No"
NA,NA,NA,2010,"NEGRO","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",47,"2012-04-20","2013-04-20",22800000,"No"
NA,NA,NA,2008,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","LS","AUTOMOVIL","Livianos","Particular","F",35,"2011-09-12","2012-09-12",19900000,"No"
NA,NA,NA,2011,"BLANCO","CABINADO","HYUNDAI","TUCSON IX 35","2.4L","CAMPERO","Livianos","Particular","M",46,"2011-06-14","2012-06-14",6.6e+07,"No"
NA,NA,NA,2009,"BLANCO","CABINADO","HYUNDAI","STAREX [2]","H1","BUS / BUSETA / MICROBUS","Pesados","Oficial",NA,999,"2011-04-20","2012-04-20",9780000,"No"
NA,NA,NA,2008,"ROJO","HATCHBACK","HYUNDAI","TIBURON [3]","FX","AUTOMOVIL","Livianos","Particular","M",51,"2012-02-25","2013-02-25",3.9e+07,"No"
NA,NA,NA,2010,"GRIS","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Oficial",NA,999,"2011-08-08","2012-08-08",56800000,"No"
NA,NA,NA,2009,"PLATA","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",51,"2011-08-25","2012-08-25",19500000,"No"
NA,NA,NA,2012,"AZUL","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",43,"2012-12-12","2014-12-12",32600000,"No"
NA,NA,NA,2007,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",58,"2011-12-31","2012-12-31",19100000,"No"
NA,NA,NA,2006,"ROJO","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","M",0,"2011-12-15","2012-12-15",12500000,"No"
NA,NA,NA,2012,"ROJO","HATCHBACK","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",45,"2011-08-28","2012-08-28",18990000,"No"
NA,NA,NA,1998,"GRIS","SEDAN","HYUNDAI","ELANTRA AVANTE","GLS","AUTOMOVIL","Livianos","Particular","M",28,"2011-08-16","2012-08-16",9100000,"No"
NA,NA,NA,2012,"AZUL","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",37,"2012-10-19","2013-10-19",33490000,"No"
NA,NA,NA,2012,"NEGRO","HATCHBACK","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","F",36,"2011-09-16","2012-09-16",0,"No"
NA,NA,NA,2012,"ROJO","HATCHBACK","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",37,"2012-02-05","2013-02-05",20490000,"No"
NA,NA,NA,2013,"NEGRO","HATCHBACK","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","F",46,"2011-01-24","2012-01-24",0,"No"
NA,NA,NA,2009,"BLANCO","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Oficial",NA,999,"2011-12-13","2012-12-13",29680000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",70,"2011-09-21","2012-09-21",21100000,"No"
NA,NA,NA,2012,"NEGRO","HATCHBACK","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",45,"2011-11-10","2012-11-10",19990000,"No"
NA,NA,NA,2012,"ROJO","SEDAN","HYUNDAI","SONATA i45","2.4L","AUTOMOVIL","Livianos","Particular","M",52,"2012-08-28","2013-08-28",0,"No"
NA,NA,NA,2007,"ROJO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",45,"2011-10-03","2012-10-03",19800000,"No"
NA,NA,NA,2012,"PLATA","ST. WAGON","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","M",59,"2012-03-04","2013-03-04",0,"No"
NA,NA,NA,2010,"BLANCO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",44,"2013-01-01","2013-04-01",21250000,"No"
NA,NA,NA,2012,"PLATA","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Particular","M",38,"2011-12-21","2012-12-21",71134500,"No"
NA,NA,NA,2007,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",33,"2012-06-06","2013-06-06",12200000,"No"
NA,NA,NA,2007,"ROJO","SEDAN","HYUNDAI","ELANTRA SUPREME","GLS","AUTOMOVIL","Livianos","Particular","F",56,"2011-12-19","2012-12-19",26900000,"No"
"PERDIDA TOTAL POR DA�OS","PTD",31612871,2011,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",33,"2011-01-03","2012-01-03",33690000,"S�"
NA,NA,NA,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",73,"2011-04-19","2012-04-19",15500000,"No"
NA,NA,NA,2011,"NEGRO","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","M",0,"2011-02-18","2011-12-31",20500000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1780917.24,2012,"AZUL","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","F",45,"2012-07-28","2013-07-28",34100000,"S�"
NA,NA,NA,2000,"ROJO","SEDAN","HYUNDAI","ACCENT VERNA","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2011-09-24","2012-09-24",10300000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1973535,2007,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",32,"2011-03-28","2012-03-28",22600000,"S�"
NA,NA,NA,2011,"CHAMPA�A","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","F",45,"2011-07-19","2014-09-02",16900000,"No"
NA,NA,NA,2008,"PLATA","SEDAN","HYUNDAI","ELANTRA SUPREME","GLS","AUTOMOVIL","Livianos","Particular","M",38,"2012-05-04","2013-05-04",25100000,"No"
NA,NA,NA,2011,"PLATA","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",39,"2012-12-02","2013-12-02",17900000,"No"
NA,NA,NA,2011,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",49,"2011-12-20","2012-12-20",25300000,"No"
NA,NA,NA,2011,"BLANCO","SEDAN","HYUNDAI","ACCENT WEB II","GLS","AUTOMOVIL","Livianos","Particular","F",28,"2012-12-06","2014-12-06",24700000,"No"
NA,NA,NA,2004,"BLANCO","SEDAN","HYUNDAI","ACCENT GYRO","GLS","AUTOMOVIL","Livianos","Particular","F",55,"2012-04-01","2013-04-01",17600000,"No"
NA,NA,NA,2012,"BLANCO","SEDAN","HYUNDAI","i35 ELANTRA","1.8L","AUTOMOVIL","Livianos","Particular","F",58,"2012-09-01","2013-06-21",5.1e+07,"No"
NA,NA,NA,2007,"MARRON","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",25,"2012-07-31","2013-07-31",13500000,"No"
NA,NA,NA,2005,"ROJO","SEDAN","HYUNDAI","ACCENT GYRO","GL","AUTOMOVIL","Livianos","Particular",NA,999,"2012-03-06","2013-03-06",14900000,"No"
NA,NA,NA,2012,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",38,"2011-07-27","2012-07-27",35390000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",0,2005,"PLATA","SEDAN","HYUNDAI","ACCENT GYRO","GL","AUTOMOVIL","Livianos","Particular","F",49,"2012-04-28","2013-04-28",14600000,"No"
NA,NA,NA,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",0,"2011-09-22","2012-09-22",23200000,"No"
